PlayerYearID|Name|Team|Year|CMP|ATT|CMP PCT|YARDS|YPA|ADJ YPA|TD|INT|PASS RTG|TD PCT|INT PCT|CollegeID|Link
jake-hubenak-1-2017|Jake Hubenak|Texas A&M|2017|13|17|76.5|98|5.8|5.8|0|0|124.9|0|0|jake-hubenak-1|/cfb/players/jake-hubenak-1.html
jake-luton-1-2017|Jake Luton|Oregon State|2017|83|135|61.5|853|6.3|5.6|4|4|118.4|2.96|2.96|jake-luton-1|/cfb/players/jake-luton-1.html
jake-rizzo-1-2017|Jake Rizzo|Florida State|2017|1|2|50|6|3|3|0|0|75.2|0|0|jake-rizzo-1|/cfb/players/jake-rizzo-1.html
jalan-mcclendon-1-2017|Jalan McClendon|North Carolina State|2017|2|3|66.7|17|5.7|5.7|0|0|114.3|0|0|jalan-mcclendon-1|/cfb/players/jalan-mcclendon-1.html
jalen-hurts-1-2017|Jalen Hurts|Alabama|2017|154|255|60.4|2081|8.2|9.3|17|1|150.2|6.67|0.39|jalen-hurts-1|/cfb/players/jalen-hurts-1.html
jalen-mccleskey-1-2017|Jalen McCleskey|Oklahoma State|2017|0|1|0|0|0|-45|0|1|-200|0|100|jalen-mccleskey-1|/cfb/players/jalen-mccleskey-1.html
jamarcus-bradley-1-2017|Ja'Marcus Bradley|Louisiana|2017|0|3|0|0|0|0|0|0|0|0|0|jamarcus-bradley-1|/cfb/players/jamarcus-bradley-1.html
jamauri-bogan-1-2017|Jamauri Bogan|Western Michigan|2017|1|1|100|0|0|0|0|0|100|0|0|jamauri-bogan-1|/cfb/players/jamauri-bogan-1.html
james-blackman-1-2017|James Blackman|Florida State|2017|173|297|58.2|2230|7.5|7.1|19|11|135|6.4|3.7|james-blackman-1|/cfb/players/james-blackman-1.html
james-morgan-1-2017|James Morgan|Bowling Green State|2017|96|212|45.3|1260|5.9|5.3|9|7|102.6|4.25|3.3|james-morgan-1|/cfb/players/james-morgan-1.html
james-sherman-1-2017|James Sherman|Texas State|2017|0|1|0|0|0|0|0|0|0|0|0|james-sherman-1|/cfb/players/james-sherman-1.html
jamie-newman-1-2017|Jamie Newman|Wake Forest|2017|2|4|50|8|2|-9.3|0|1|16.8|0|25|jamie-newman-1|/cfb/players/jamie-newman-1.html
jaquan-blackwell-1-2017|JaQuan Blackwell|San Jose State|2017|0|1|0|0|0|-45|0|1|-200|0|100|jaquan-blackwell-1|/cfb/players/jaquan-blackwell-1.html
jared-atkinson-1-2017|Jared Atkinson|Baylor|2017|1|1|100|20|20|20|0|0|268|0|0|jared-atkinson-1|/cfb/players/jared-atkinson-1.html
jaron-johnson-1-2017|Jaron Johnson|Eastern Michigan|2017|1|1|100|43|43|63|1|0|791.2|100|0|jaron-johnson-1|/cfb/players/jaron-johnson-1.html
jarret-doege-1-2017|Jarret Doege|Bowling Green State|2017|120|188|63.8|1381|7.3|7.9|12|3|143.4|6.38|1.6|jarret-doege-1|/cfb/players/jarret-doege-1.html
jarrett-guarantano-1-2017|Jarrett Guarantano|Tennessee|2017|86|139|61.9|997|7.2|7.1|4|2|128.7|2.88|1.44|jarrett-guarantano-1|/cfb/players/jarrett-guarantano-1.html
jarrett-stidham-1-2017|Jarrett Stidham|Auburn|2017|246|370|66.5|3158|8.5|8.8|18|6|151|4.86|1.62|jarrett-stidham-1|/cfb/players/jarrett-stidham-1.html
jarvion-franklin-1-2017|Jarvion Franklin|Western Michigan|2017|0|1|0|0|0|-45|0|1|-200|0|100|jarvion-franklin-1|/cfb/players/jarvion-franklin-1.html
jason-driskel-1-2017|Jason Driskel|Florida Atlantic|2017|185|278|66.5|2247|8.1|8.5|15|4|149.4|5.4|1.44|jason-driskel-1|/cfb/players/jason-driskel-1.html
jawon-pass-1-2017|Jawon Pass|Louisville|2017|23|33|69.7|238|7.2|8.4|2|0|150.3|6.06|0|jawon-pass-1|/cfb/players/jawon-pass-1.html
jay-tyler-1-2017|Jay Tyler|Stanford|2017|1|1|100|16|16|16|0|0|234.4|0|0|jay-tyler-1|/cfb/players/jay-tyler-1.html
jaylen-samuels-1-2017|Jaylen Samuels|North Carolina State|2017|1|2|50|25|12.5|12.5|0|0|155|0|0|jaylen-samuels-1|/cfb/players/jaylen-samuels-1.html
jaylin-nelson-1-2017|Jaylin Nelson|Texas State|2017|1|1|100|69|69|89|1|0|1009.6|100|0|jaylin-nelson-1|/cfb/players/jaylin-nelson-1.html
jeff-george-jr-1-2017|Jeff George Jr.|Illinois|2017|94|181|51.9|1273|7|5.3|7|10|112.7|3.87|5.52|jeff-george-jr-1|/cfb/players/jeff-george-jr-1.html
jeff-smith-10-2017|Jeff Smith|Boston College|2017|2|4|50|59|14.8|24.8|2|0|338.9|50|0|jeff-smith-10|/cfb/players/jeff-smith-10.html
jeffery-mead-1-2017|Jeffery Mead|Oklahoma|2017|1|1|100|17|17|17|0|0|242.8|0|0|jeffery-mead-1|/cfb/players/jeffery-mead-1.html
jeremy-larkin-1-2017|Jeremy Larkin|Northwestern|2017|1|1|100|24|24|24|0|0|301.6|0|0|jeremy-larkin-1|/cfb/players/jeremy-larkin-1.html
jerrod-heard-1-2017|Jerrod Heard|Texas|2017|2|3|66.7|18|6|6|0|0|117.1|0|0|jerrod-heard-1|/cfb/players/jerrod-heard-1.html
jesse-ertz-1-2017|Jesse Ertz|Kansas State|2017|55|100|55|930|9.3|9.4|7|3|150.2|7|3|jesse-ertz-1|/cfb/players/jesse-ertz-1.html
jett-duffey-1-2017|Jett Duffey|Texas Tech|2017|2|2|100|16|8|8|0|0|167.2|0|0|jett-duffey-1|/cfb/players/jett-duffey-1.html
jj-cosentino-1-2017|J.J. Cosentino|Florida State|2017|8|11|72.7|58|5.3|7.1|1|0|147|9.09|0|jj-cosentino-1|/cfb/players/jj-cosentino-1.html
jk-scott-3-2017|JK Scott|Alabama|2017|1|1|100|-9|-9|-9|0|0|24.4|0|0|jk-scott-3|/cfb/players/jk-scott-3.html
jmar-smith-1-2017|J'mar Smith|Louisiana Tech|2017|229|409|56|2974|7.3|7.5|16|5|127.5|3.91|1.22|jmar-smith-1|/cfb/players/jmar-smith-1.html
joe-burrow-1-2017|Joe Burrow|Ohio State|2017|7|11|63.6|61|5.5|5.5|0|0|110.2|0|0|joe-burrow-1|/cfb/players/joe-burrow-1.html
joe-critchlow-1-2017|Joe Critchlow|Brigham Young|2017|55|101|54.5|642|6.4|5.2|3|4|109.7|2.97|3.96|joe-critchlow-1|/cfb/players/joe-critchlow-1.html
