PlayerYearID|Name|Year|POS|Team|HGT|WGT|FORTY|VERT|BENCH|BROAD|CONE|SHUT|College Link|NFL Link|CollegeID|PlayerID
donnie-ernsberger-1|Donnie Ernsberger|2018|RB|Western Michigan|75|241|4.78|31.0|15.0|114.0|7.09|4.34|/cfb/players/donnie-ernsberger-1.html||donnie-ernsberger-1|
donte-jackson-1|Donte Jackson|2018|CB|LSU|71|175|4.32||7.0|124.0|||/cfb/players/donte-jackson-1.html|/players/J/JackDo02.htm|donte-jackson-1|JackDo02
dorance-armstrong-2018|Dorance Armstrong|2018|EDGE|Kansas|76|257|4.87|30.0|20.0|118.0|7.12|4.23||||
dorian-odaniel-1|Dorian O'daniel|2018|OLB|Clemson|73|223|4.61|32.0|21.0|119.0|6.64|4.07|/cfb/players/dorian-odaniel-1.html|/players/O/ODanDo00.htm|dorian-odaniel-1|ODanDo00
drew-brown-1|Drew Brown|2018|K|Nebraska|70|208|||||||/cfb/players/drew-brown-1.html||drew-brown-1|
duke-dawson-1|Duke Dawson|2018|CB|Florida|70|208|4.46||15.0||||/cfb/players/duke-dawson-1.html|/players/D/DawsDu00.htm|duke-dawson-1|DawsDu00
duke-ejiofor-1|Duke Ejiofor|2018|DE|Wake Forest|76|264|||||||/cfb/players/duke-ejiofor-1.html|/players/E/EjioDu00.htm|duke-ejiofor-1|EjioDu00
durham-smythe-1|Durham Smythe|2018|TE|Notre Dame|77|253|4.81|31.0|18.0|110.0|7.17|4.23|/cfb/players/durham-smythe-1.html|/players/S/SmytDu00.htm|durham-smythe-1|SmytDu00
dylan-cantrell-1|Dylan Cantrell|2018|WR|Texas Tech|75|226|4.59|38.5|18.0|130.0|6.56|4.03|/cfb/players/dylan-cantrell-1.html|/players/C/CantDy00.htm|dylan-cantrell-1|CantDy00
eddy-pineiro-1|Eddy Pineiro|2018|K|Florida|72|185|||||||/cfb/players/eddy-pineiro-1.html||eddy-pineiro-1|
eddy-wilson-1|Eddy Wilson|2018|DT|Purdue|76|301|5.37||26.0|96.0|||/cfb/players/eddy-wilson-1.html||eddy-wilson-1|
equanimeous-st-brown-1|Equanimeous St. brown|2018|WR|Notre Dame|77|214|4.48||20.0||||/cfb/players/equanimeous-st-brown-1.html|/players/S/St.BEq00.htm|equanimeous-st-brown-1|St.BEq00
folorunso-fatukasi-1|Foley Fatukasi|2018|DT|Connecticut|76|318|5.29|30.0|33.0|112.0|7.44|4.53|/cfb/players/folorunso-fatukasi-1.html||folorunso-fatukasi-1|
frank-ragnow-1|Frank Ragnow|2018|C|Arkansas|77|312|||26.0||||/cfb/players/frank-ragnow-1.html|/players/R/RagnFr00.htm|frank-ragnow-1|RagnFr00
fred-warner-1|Fred Warner|2018|OLB|BYU|75|236|4.64|38.5|21.0|119.0|6.9|4.28|/cfb/players/fred-warner-1.html|/players/W/WarnFr00.htm|fred-warner-1|WarnFr00
garret-dooley-1|Garret Dooley|2018|EDGE|Wisconsin|75|248|4.8|33.0|21.0|121.0||4.28|/cfb/players/garret-dooley-1.html|/players/D/DoolGa00.htm|garret-dooley-1|DoolGa00
