PlayerYearID|Name|Team|Year|RUSH ATT|RUSH YDS|RUSH YPA|RUSH TD|REC|REC YDS|REC YPC|REC TD|Player ID|Link
adam-choice-1-2018|Adam Choice|Clemson|2018|68|506|7.4|7|1|3|3|0|adam-choice-1|/cfb/players/adam-choice-1.html
adam-dulka-2-2018|Adam Dulka|Kent State|2018|1|1|1|0|8|86|10.8|1|adam-dulka-2|/cfb/players/adam-dulka-2.html
adam-harter-1-2018|Adam Harter|Kansas State|2018|0|0|0|0|1|11|11|0|adam-harter-1|/cfb/players/adam-harter-1.html
adam-krumholz-1-2018|Adam Krumholz|Wisconsin|2018|0|0|0|0|1|5|5|0|adam-krumholz-1|/cfb/players/adam-krumholz-1.html
adam-luehrman-1-2018|Adam Luehrman|Ohio|2018|0|0|0|0|1|8|8|1|adam-luehrman-1|/cfb/players/adam-luehrman-1.html
adam-prentice-1-2018|Adam Prentice|Colorado State|2018|16|62|3.9|0|4|26|6.5|0|adam-prentice-1|/cfb/players/adam-prentice-1.html
adarius-purifoy-1-2018|A'Darius Purifoy|Appalachian State|2018|0|0|0|0|2|25|12.5|0|adarius-purifoy-1|/cfb/players/adarius-purifoy-1.html
adrian-hardy-1-2018|Adrian Hardy|Louisiana Tech|2018|0|0|0|0|69|1052|15.2|6|adrian-hardy-1|/cfb/players/adrian-hardy-1.html
adrian-killins-1-2018|Adrian Killins|UCF|2018|144|698|4.8|4|17|385|22.6|4|adrian-killins-1|/cfb/players/adrian-killins-1.html
adrian-martinez-2-2018|Adrian Martinez|Nebraska|2018|140|629|4.5|8|1|-11|-11|0|adrian-martinez-2|/cfb/players/adrian-martinez-2.html
aeris-williams-1-2018|Aeris Williams|Mississippi State|2018|79|502|6.4|3|6|81|13.5|1|aeris-williams-1|/cfb/players/aeris-williams-1.html
ahkil-crumpton-1-2018|Ahkil Crumpton|Georgia|2018|1|12|12|0|5|21|4.2|0|ahkil-crumpton-1|/cfb/players/ahkil-crumpton-1.html
ahmari-davis-1-2018|Ahmari Davis|New Mexico|2018|51|185|3.6|4|2|0|0|0|ahmari-davis-1|/cfb/players/ahmari-davis-1.html
